,City,Province,City_ID,Population 2021,Land Area (sqKM)
2,Division No.  1,Newfoundland and Labrador,2021A00031001,271878.0,9104.58
3,Admirals Beach,Newfoundland and Labrador,2021A00051001186,97.0,24.2
4,Aquaforte,Newfoundland and Labrador,2021A00051001144,74.0,6.88
5,Arnold's Cove,Newfoundland and Labrador,2021A00051001270,964.0,5.25
6,Avondale,Newfoundland and Labrador,2021A00051001464,584.0,29.69
7,Bauline,Newfoundland and Labrador,2021A00051001512,412.0,16.05
8,Bay Bulls,Newfoundland and Labrador,2021A00051001557,1566.0,30.6
9,Bay Roberts,Newfoundland and Labrador,2021A00051001409,5974.0,24.51
10,Bay de Verde,Newfoundland and Labrador,2021A00051001347,347.0,13.24
11,Bishop's Cove,Newfoundland and Labrador,2021A00051001394,252.0,1.9
12,Branch,Newfoundland and Labrador,2021A00051001219,177.0,16.18
13,Brigus,Newfoundland and Labrador,2021A00051001446,699.0,11.48
14,Bryant's Cove,Newfoundland and Labrador,2021A00051001375,343.0,4.9
15,Cape Broyle,Newfoundland and Labrador,2021A00051001126,499.0,10.09
16,Carbonear,Newfoundland and Labrador,2021A00051001370,4696.0,12.44
17,Chance Cove,Newfoundland and Labrador,2021A00051001281,213.0,18.14
18,Chapel Arm,Newfoundland and Labrador,2021A00051001289,446.0,28.08
19,Clarke's Beach,Newfoundland and Labrador,2021A00051001429,1400.0,12.64
20,Colinet,Newfoundland and Labrador,2021A00051001207,103.0,6.01
21,Colliers,Newfoundland and Labrador,2021A00051001456,613.0,26.24
22,Come By Chance,Newfoundland and Labrador,2021A00051001274,208.0,39.55
23,Conception Bay South,Newfoundland and Labrador,2021A00051001485,27168.0,59.72
24,Conception Harbour,Newfoundland and Labrador,2021A00051001461,624.0,21.47
25,Cupids,Newfoundland and Labrador,2021A00051001437,699.0,10.86
26,"Division No.  1, Subd. A",Newfoundland and Labrador,2021A00051001259,653.0,772.38
27,"Division No.  1, Subd. B",Newfoundland and Labrador,2021A00051001234,356.0,454.34
28,"Division No.  1, Subd. C",Newfoundland and Labrador,2021A00051001214,106.0,815.64
29,"Division No.  1, Subd. D",Newfoundland and Labrador,2021A00051001565,119.0,298.06
30,"Division No.  1, Subd. E",Newfoundland and Labrador,2021A00051001304,2835.0,218.85
31,"Division No.  1, Subd. F",Newfoundland and Labrador,2021A00051001321,539.0,173.02
32,"Division No.  1, Subd. G",Newfoundland and Labrador,2021A00051001339,1673.0,302.69
33,"Division No.  1, Subd. H",Newfoundland and Labrador,2021A00051001357,328.0,57.2
34,"Division No.  1, Subd. I",Newfoundland and Labrador,2021A00051001374,320.0,64.11
35,"Division No.  1, Subd. J",Newfoundland and Labrador,2021A00051001391,0.0,0.45
36,"Division No.  1, Subd. K",Newfoundland and Labrador,2021A00051001405,35.0,37.13
37,"Division No.  1, Subd. L",Newfoundland and Labrador,2021A00051001415,874.0,8.1
38,"Division No.  1, Subd. M",Newfoundland and Labrador,2021A00051001421,1145.0,139.98
39,"Division No.  1, Subd. N",Newfoundland and Labrador,2021A00051001441,356.0,12.85
40,"Division No.  1, Subd. O",Newfoundland and Labrador,2021A00051001452,829.0,78.38
41,"Division No.  1, Subd. R",Newfoundland and Labrador,2021A00051001490,264.0,16.82
42,"Division No.  1, Subd. U",Newfoundland and Labrador,2021A00051001124,1373.0,742.38
43,"Division No.  1, Subd. V",Newfoundland and Labrador,2021A00051001101,55.0,870.89
44,"Division No.  1, Subd. W",Newfoundland and Labrador,2021A00051001155,469.0,821.97
45,"Division No.  1, Subd. X",Newfoundland and Labrador,2021A00051001203,541.0,567.62
46,"Division No.  1, Subd. Y",Newfoundland and Labrador,2021A00051001293,1211.0,190.76
47,Fermeuse,Newfoundland and Labrador,2021A00051001136,266.0,38.33
48,Ferryland,Newfoundland and Labrador,2021A00051001149,371.0,13.22
49,Flatrock,Newfoundland and Labrador,2021A00051001507,1722.0,18.1
50,Fox Harbour,Newfoundland and Labrador,2021A00051001254,226.0,19.81
51,Gaskiers-Point La Haye,Newfoundland and Labrador,2021A00051001174,189.0,23.29
52,Hant's Harbour,Newfoundland and Labrador,2021A00051001335,318.0,31.86
53,Harbour Grace,Newfoundland and Labrador,2021A00051001379,2796.0,33.71
54,Harbour Main-Chapel's Cove-Lakeview,Newfoundland and Labrador,2021A00051001469,1065.0,21.19
55,Heart's Content,Newfoundland and Labrador,2021A00051001325,330.0,62.87
56,Heart's Delight-Islington,Newfoundland and Labrador,2021A00051001312,646.0,26.95
57,Heart's Desire,Newfoundland and Labrador,2021A00051001316,184.0,17.02
58,Holyrood,Newfoundland and Labrador,2021A00051001472,2471.0,126.02
59,Logy Bay-Middle Cove-Outer Cove,Newfoundland and Labrador,2021A00051001511,2364.0,16.99
60,Long Harbour-Mount Arlington Heights,Newfoundland and Labrador,2021A00051001263,185.0,18.33
61,Mount Carmel-Mitchells Brook-St. Catherine's,Newfoundland and Labrador,2021A00051001197,382.0,60.76
62,Mount Pearl,Newfoundland and Labrador,2021A00051001542,22477.0,15.65
63,New Perlican,Newfoundland and Labrador,2021A00051001328,200.0,24.45
64,Norman's Cove-Long Cove,Newfoundland and Labrador,2021A00051001285,647.0,20.15
65,North River,Newfoundland and Labrador,2021A00051001426,579.0,4.2
66,Old Perlican,Newfoundland and Labrador,2021A00051001343,608.0,14.14
67,Paradise,Newfoundland and Labrador,2021A00051001517,22957.0,29.67
68,Petty Harbour-Maddox Cove,Newfoundland and Labrador,2021A00051001551,947.0,4.4
69,Placentia,Newfoundland and Labrador,2021A00051001240,3289.0,57.8
70,Point Lance,Newfoundland and Labrador,2021A00051001225,87.0,28.29
71,Port Kirwan,Newfoundland and Labrador,2021A00051001140,49.0,8.84
72,Portugal Cove South,Newfoundland and Labrador,2021A00051001105,86.0,1.08
73,Portugal Cove-St. Philip's,Newfoundland and Labrador,2021A00051001504,8415.0,57.61
74,Pouch Cove,Newfoundland and Labrador,2021A00051001505,2063.0,58.24
75,Renews-Cappahayden,Newfoundland and Labrador,2021A00051001131,280.0,125.93
76,Riverhead,Newfoundland and Labrador,2021A00051001181,165.0,101.84
77,Salmon Cove,Newfoundland and Labrador,2021A00051001361,764.0,4.21
78,Small Point-Adam's Cove-Blackhead-Broad Cove,Newfoundland and Labrador,2021A00051001352,414.0,23.12
79,South River,Newfoundland and Labrador,2021A00051001434,674.0,5.97
80,Southern Harbour,Newfoundland and Labrador,2021A00051001267,313.0,5.39
81,Spaniard's Bay,Newfoundland and Labrador,2021A00051001396,2630.0,66.09
82,St. Bride's,Newfoundland and Labrador,2021A00051001228,318.0,5.38
83,St. John's,Newfoundland and Labrador,2021A00051001519,110525.0,446.02
84,St. Joseph's,Newfoundland and Labrador,2021A00051001192,86.0,29.22
85,St. Mary's,Newfoundland and Labrador,2021A00051001178,313.0,36.41
86,St. Shott's,Newfoundland and Labrador,2021A00051001120,55.0,1.07
87,St. Vincent's-St. Stephen's-Peter's River,Newfoundland and Labrador,2021A00051001169,263.0,86.62
88,Sunnyside,Newfoundland and Labrador,2021A00051001277,407.0,39.02
89,Torbay,Newfoundland and Labrador,2021A00051001509,7852.0,34.89
90,Trepassey,Newfoundland and Labrador,2021A00051001113,405.0,54.21
91,Upper Island Cove,Newfoundland and Labrador,2021A00051001385,1401.0,7.82
92,Victoria,Newfoundland and Labrador,2021A00051001365,1658.0,17.96
93,Wabana,Newfoundland and Labrador,2021A00051001494,1815.0,14.49
94,Whitbourne,Newfoundland and Labrador,2021A00051001298,955.0,21.51
95,Whiteway,Newfoundland and Labrador,2021A00051001308,351.0,22.53
96,Winterton,Newfoundland and Labrador,2021A00051001332,436.0,10.61
97,Witless Bay,Newfoundland and Labrador,2021A00051001559,1640.0,17.61
