,GEO,DGUID,Geo-ID,VALUE,REF_DATE
2646,"Campbellton, Quebec part",2016S050624330,S050624330,0.0,2017-01
2655,"Matane, Quebec",2016S0504403,S0504403,2.0,2017-01
2670,"Rimouski, Quebec",2016S0504404,S0504404,8.0,2017-01
2688,"Rivière-du-Loup, Quebec",2016S0504405,S0504405,5.0,2017-01
2709,"Baie-Comeau, Quebec",2016S0504406,S0504406,3.0,2017-01
2727,"Saguenay, Quebec",2016S0503408,S0503408,8.0,2017-01
2757,"Alma, Quebec",2016S0504410,S0504410,2.0,2017-01
2766,"Dolbeau-Mistassini, Quebec",2016S0504411,S0504411,0.0,2017-01
2778,"Sept-Îles, Quebec",2016S0504412,S0504412,4.0,2017-01
2790,"Québec, Quebec",2016S0503421,S0503421,121.0,2017-01
2880,"Sainte-Marie, Quebec",2016S0504423,S0504423,1.0,2017-01
2886,"Saint-Georges, Quebec",2016S0504428,S0504428,1.0,2017-01
2892,"Thetford Mines, Quebec",2016S0504430,S0504430,1.0,2017-01
2907,"Sherbrooke, Quebec",2016S0503433,S0503433,28.0,2017-01
2943,"Cowansville, Quebec",2016S0504437,S0504437,2.0,2017-01
2949,"Victoriaville, Quebec",2016S0504440,S0504440,12.0,2017-01
2958,"Trois-Rivières, Quebec",2016S0503442,S0503442,26.0,2017-01
2982,"Shawinigan, Quebec",2016S0504444,S0504444,12.0,2017-01
2991,"Drummondville, Quebec",2016S0504447,S0504447,14.0,2017-01
3027,"Granby, Quebec",2016S0504450,S0504450,18.0,2017-01
3045,"Saint-Hyacinthe, Quebec",2016S0504452,S0504452,18.0,2017-01
3057,"Sorel-Tracy, Quebec",2016S0504454,S0504454,6.0,2017-01
3072,"Joliette, Quebec",2016S0504456,S0504456,7.0,2017-01
3087,"Montréal, Quebec",2016S0503462,S0503462,700.0,2017-01
3369,"Salaberry-de-Valleyfield, Quebec",2016S0504465,S0504465,7.0,2017-01
3375,"Lachute, Quebec",2016S0504468,S0504468,1.0,2017-01
