,GEO,DGUID,Geo-ID,VALUE,REF_DATE
1140,Prince Edward Island,2016A000211,A000211,0.0,2017-01
1797,New Brunswick,2016A000213,A000213,5.0,2017-01
2643,Quebec,2016A000224,A000224,1247.0,2017-01
6594,Ontario,2016A000235,A000235,1319.0,2017-01
8460,Manitoba,2016A000246,A000246,10.0,2017-01
9171,Saskatchewan,2016A000247,A000247,8.0,2017-01
13392,British Columbia,2016A000259,A000259,787.0,2017-01
15687,Yukon,2016A000260,A000260,0.0,2017-01
15804,Northwest Territories,2016A000261,A000261,1.0,2017-01
17175,Prince Edward Island,2016A000211,A000211,1.0,2017-04
17832,New Brunswick,2016A000213,A000213,7.0,2017-04
18678,Quebec,2016A000224,A000224,2029.0,2017-04
22629,Ontario,2016A000235,A000235,2089.0,2017-04
24495,Manitoba,2016A000246,A000246,16.0,2017-04
25206,Saskatchewan,2016A000247,A000247,7.0,2017-04
29427,British Columbia,2016A000259,A000259,760.0,2017-04
31722,Yukon,2016A000260,A000260,0.0,2017-04
31839,Northwest Territories,2016A000261,A000261,0.0,2017-04
33210,Prince Edward Island,2016A000211,A000211,0.0,2017-07
33867,New Brunswick,2016A000213,A000213,6.0,2017-07
34713,Quebec,2016A000224,A000224,2110.0,2017-07
38664,Ontario,2016A000235,A000235,2130.0,2017-07
40530,Manitoba,2016A000246,A000246,16.0,2017-07
41241,Saskatchewan,2016A000247,A000247,10.0,2017-07
45462,British Columbia,2016A000259,A000259,806.0,2017-07
47757,Yukon,2016A000260,A000260,0.0,2017-07
47874,Northwest Territories,2016A000261,A000261,0.0,2017-07
49245,Prince Edward Island,2016A000211,A000211,1.0,2017-10
49902,New Brunswick,2016A000213,A000213,8.0,2017-10
50748,Quebec,2016A000224,A000224,2409.0,2017-10
54699,Ontario,2016A000235,A000235,2642.0,2017-10
56565,Manitoba,2016A000246,A000246,12.0,2017-10
57276,Saskatchewan,2016A000247,A000247,7.0,2017-10
61497,British Columbia,2016A000259,A000259,788.0,2017-10
63792,Yukon,2016A000260,A000260,0.0,2017-10
63909,Northwest Territories,2016A000261,A000261,0.0,2017-10
65280,Prince Edward Island,2016A000211,A000211,5.0,2018-01
65937,New Brunswick,2016A000213,A000213,10.0,2018-01
66783,Quebec,2016A000224,A000224,2565.0,2018-01
70734,Ontario,2016A000235,A000235,2748.0,2018-01
72600,Manitoba,2016A000246,A000246,15.0,2018-01
73311,Saskatchewan,2016A000247,A000247,11.0,2018-01
77532,British Columbia,2016A000259,A000259,1366.0,2018-01
79827,Yukon,2016A000260,A000260,0.0,2018-01
79944,Northwest Territories,2016A000261,A000261,0.0,2018-01
81315,Prince Edward Island,2016A000211,A000211,5.0,2018-04
81972,New Brunswick,2016A000213,A000213,16.0,2018-04
82818,Quebec,2016A000224,A000224,5121.0,2018-04
86769,Ontario,2016A000235,A000235,6946.0,2018-04
88635,Manitoba,2016A000246,A000246,49.0,2018-04
89346,Saskatchewan,2016A000247,A000247,24.0,2018-04
93567,British Columbia,2016A000259,A000259,2458.0,2018-04
95862,Yukon,2016A000260,A000260,0.0,2018-04
95979,Northwest Territories,2016A000261,A000261,0.0,2018-04
97350,Prince Edward Island,2016A000211,A000211,5.0,2018-07
98007,New Brunswick,2016A000213,A000213,9.0,2018-07
98853,Quebec,2016A000224,A000224,4432.0,2018-07
102804,Ontario,2016A000235,A000235,5258.0,2018-07
104670,Manitoba,2016A000246,A000246,40.0,2018-07
105381,Saskatchewan,2016A000247,A000247,23.0,2018-07
109602,British Columbia,2016A000259,A000259,2450.0,2018-07
111897,Yukon,2016A000260,A000260,1.0,2018-07
112014,Northwest Territories,2016A000261,A000261,2.0,2018-07
113385,Prince Edward Island,2016A000211,A000211,1.0,2018-10
114042,New Brunswick,2016A000213,A000213,21.0,2018-10
114888,Quebec,2016A000224,A000224,5725.0,2018-10
118839,Ontario,2016A000235,A000235,1806.0,2018-10
120705,Manitoba,2016A000246,A000246,55.0,2018-10
121416,Saskatchewan,2016A000247,A000247,29.0,2018-10
125637,British Columbia,2016A000259,A000259,2039.0,2018-10
127932,Yukon,2016A000260,A000260,1.0,2018-10
128049,Northwest Territories,2016A000261,A000261,1.0,2018-10
129420,Prince Edward Island,2016A000211,A000211,7.0,2019-01
130077,New Brunswick,2016A000213,A000213,12.0,2019-01
130923,Quebec,2016A000224,A000224,3795.0,2019-01
134874,Ontario,2016A000235,A000235,1342.0,2019-01
136740,Manitoba,2016A000246,A000246,26.0,2019-01
137451,Saskatchewan,2016A000247,A000247,25.0,2019-01
141672,British Columbia,2016A000259,A000259,2784.0,2019-01
143967,Yukon,2016A000260,A000260,1.0,2019-01
144084,Northwest Territories,2016A000261,A000261,0.0,2019-01
