,ID,Fuel Type Code,City,Province,Country,ZIP,Status Code
0,82833,ELEC,Brooks,AB,CA,T1R 1P7,E
1,82834,ELEC,Airdrie,AB,CA,T4A 2H9,E
2,82835,ELEC,Edmonton,AB,CA,T6X 1A1,T
3,82836,ELEC,Edmonton,AB,CA,T6E 2B1,E
4,82837,ELEC,Calgary,AB,CA,T2E 6Y3,E
5,82838,ELEC,Calgary,AB,CA,T2H 3A8,E
6,82839,ELEC,Calgary,AB,CA,T3M 2P2,E
7,82840,ELEC,Calgary,AB,CA,T1Y 1A1,E
8,82842,ELEC,Sorel-Tracy,QC,CA,J3R 5S8,E
9,82843,ELEC,Winnipeg,MB,CA,R3J 3Y9,E
13,82902,ELEC,Huntsville,ON,CA,P1H 0A5,T
14,82904,ELEC,Amos,QC,CA,J9T 1N2,E
15,82905,ELEC,Varennes,QC,CA,J3X 1N8,E
16,82906,ELEC,St-Jean-sur-Richelieu,QC,CA,J3A 1M8,E
17,82908,ELEC,Shawinigan,QC,CA,G9N 1L8,E
18,82910,ELEC,Lincoln,ON,CA,L0R 1S0,E
19,82911,ELEC,St-Petronille,QC,CA,G0A 4C0,E
20,82912,ELEC,Yamachiche,QC,CA,G0X 3L0,E
21,82915,ELEC,Lac Megantic,QC,CA,G6B 2S5,E
22,82916,ELEC,Belleville,ON,CA,K8P 3C8,E
23,82918,ELEC,Niagara Falls,ON,CA,L2G 6H2,E
24,82919,ELEC,Cobourg,ON,CA,K9A 2X9,E
25,82920,ELEC,Rouyn-Noranda,QC,CA,J9X 4P2,E
26,82921,ELEC,Mont-Laurier,QC,CA,J9L 1M6,E
27,82922,ELEC,St-Jerome,QC,CA,J7Y 3L8,E
28,82924,ELEC,La Tuque,QC,CA,G9X 4T4,E
29,82925,ELEC,Owen Sound,ON,CA,N4K 5R1,E
31,82927,ELEC,Trois-Rivières-Ouest,QC,CA,G8Z 4B5,E
32,82928,ELEC,Kenora,ON,CA,P9N 1W5,T
33,82929,ELEC,Louiseville,QC,CA,J5V 1J6,E
34,82930,ELEC,St-Anne-des-Monts,QC,CA,G4V 1A2,E
35,82931,ELEC,North Bay,ON,CA,P1A 2G4,E
36,82932,ELEC,Peterborough,ON,CA,K9J 6Z3,E
37,82933,ELEC,Pembroke,ON,CA,K8A 6W5,E
38,82935,ELEC,St-Francois-de-l'Ile-d'Orleans,QC,CA,G0A 3S0,E
39,82937,ELEC,Dryden,ON,CA,P8N 2P4,E
40,82938,ELEC,Quebec,QC,CA,G2E 6J5,E
41,82939,ELEC,Brantford,ON,CA,N3R 7J4,E
42,82940,ELEC,St-Petronille,QC,CA,G0A 4C0,E
43,82941,ELEC,St-Sévère,QC,CA,G0X 3B0,E
44,82943,ELEC,St-Famille,QC,CA,G0A 3P0,E
45,82944,ELEC,Kingston,ON,CA,K7M 3E1,E
46,82948,ELEC,Gaspe,QC,CA,G4X 1T6,E
47,82950,ELEC,Matane,QC,CA,G4W 3N4,E
48,82952,ELEC,Ottawa,ON,CA,K1Z 7K8,E
49,82954,ELEC,Trois-Rivières,QC,CA,G9A 4S3,T
50,82956,ELEC,Orillia,ON,CA,L3V 6J3,E
51,82957,ELEC,Milton,ON,CA,L9T 4A6,E
52,82958,ELEC,Thunder Bay,ON,CA,P7J 1B8,E
53,82960,ELEC,Brampton,ON,CA,L6T 4G6,E
54,82965,ELEC,St. Catharines,ON,CA,L2M 6P3,E
56,82969,ELEC,Kincardine,ON,CA,N2Z 3B8,E
57,82970,ELEC,Mont-Tremblant,QC,CA,J8E 3M2,E
58,82972,ELEC,Québec City,QC,CA,G1K 8N8,E
59,82973,ELEC,Montreal,QC,CA,H3T 1E2,E
60,82974,ELEC,Ingersoll,ON,CA,N5C 3J7,E
61,82976,ELEC,Nicolet,QC,CA,J3T 1W4,E
62,82980,ELEC,Lachute,QC,CA,J8H 4H3,E
63,82981,ELEC,Exeter,ON,CA,N0M 1S3,E
64,82982,ELEC,Boucherville,QC,CA,J4B 5E4,E
65,82984,ELEC,Ottawa,ON,CA,K2G 0G3,E
66,82985,ELEC,Brossard,QC,CA,J4Z 3R9,E
67,82986,ELEC,Ville St. Laurent,QC,CA,H4T 1M8,E
68,82987,ELEC,Belgrave,ON,CA,N0G 1E0,E
69,82988,ELEC,St-Elie-de-Caxton,QC,CA,G0X 2N0,E
70,82990,ELEC,Saint-Jean-de-l'Île-d'Orléans,QC,CA,G0A 3W0,E
71,82991,ELEC,Rimouski,QC,CA,G5L 8Y9,E
72,82992,ELEC,Grimsby,ON,CA,L3M 4G1,E
73,82993,ELEC,Montreal,QC,CA,H4A 3J1,E
