,City,Province,City_ID,Median_Income($)
2,Corner Brook ,Newfoundland and Labrador,2021S0504015,37600
3,Gander ,Newfoundland and Labrador,2021S0504011,40000
4,Grand Falls-Windsor ,Newfoundland and Labrador,2021S0504010,35600
5,St. John's ,Newfoundland and Labrador,2021S0503001,42800
7,Charlottetown ,Prince Edward Island,2021S0504105,39600
8,Summerside ,Prince Edward Island,2021S0504110,36800
10,Cape Breton ,Nova Scotia,2021S0504225,34000
11,Halifax ,Nova Scotia,2021S0503205,42000
12,Kentville ,Nova Scotia,2021S0504210,35600
13,New Glasgow ,Nova Scotia,2021S0504220,36400
14,Truro ,Nova Scotia,2021S0504215,36400
16,Bathurst ,New Brunswick,2021S0504328,34800
17,Campbellton ,New Brunswick,2021S0504330,33600
18,Campbellton ,New Brunswick,2021S050613330,33600
19,Campbellton ,Quebec,2021S050624330,31000
20,Edmundston ,New Brunswick,2021S0504335,36400
21,Fredericton ,New Brunswick,2021S0503320,41600
22,Miramichi ,New Brunswick,2021S0504329,37200
23,Moncton ,New Brunswick,2021S0503305,40000
24,Saint John ,New Brunswick,2021S0503310,40000
26,Alma ,Quebec,2021S0504410,40000
27,Amos ,Quebec,2021S0504481,44000
28,Baie-Comeau ,Quebec,2021S0504406,44400
29,Cowansville ,Quebec,2021S0504437,36800
30,Dolbeau-Mistassini ,Quebec,2021S0504411,37600
31,Drummondville ,Quebec,2021S0503447,38800
32,Granby ,Quebec,2021S0504450,40000
33,Joliette ,Quebec,2021S0504456,38000
34,Lachute ,Quebec,2021S0504468,34000
35,Matane ,Quebec,2021S0504403,36400
36,Montréal ,Quebec,2021S0503462,40800
37,Québec ,Quebec,2021S0503421,46000
38,Rimouski ,Quebec,2021S0504404,40800
39,Rivière-du-Loup ,Quebec,2021S0504405,40800
40,Rouyn-Noranda ,Quebec,2021S0504485,44000
41,Saguenay ,Quebec,2021S0503408,41600
42,Saint-Georges ,Quebec,2021S0504428,40000
43,Saint-Hyacinthe ,Quebec,2021S0504452,38800
44,Sainte-Agathe-des-Monts ,Quebec,2021S0504467,36400
45,Sainte-Marie ,Quebec,2021S0504423,44000
46,Salaberry-de-Valleyfield ,Quebec,2021S0504465,38000
47,Sept-Îles ,Quebec,2021S0504412,45600
48,Shawinigan ,Quebec,2021S0504444,35200
49,Sherbrooke ,Quebec,2021S0503433,39200
50,Sorel-Tracy ,Quebec,2021S0504454,36800
51,Thetford Mines ,Quebec,2021S0504430,36000
52,Trois-Rivières ,Quebec,2021S0503442,38800
53,Val-d'Or ,Quebec,2021S0504480,44000
54,Victoriaville ,Quebec,2021S0504440,38000
56,Barrie ,Ontario,2021S0503568,42000
57,Belleville - Quinte West ,Ontario,2021S0503522,40000
58,Brantford ,Ontario,2021S0503543,40800
59,Brockville ,Ontario,2021S0504512,38800
60,Centre Wellington ,Ontario,2021S0504531,47600
61,Chatham-Kent ,Ontario,2021S0504556,38000
62,Cobourg ,Ontario,2021S0504527,40800
63,Collingwood ,Ontario,2021S0504567,42000
64,Cornwall ,Ontario,2021S0504501,36800
65,Elliot Lake ,Ontario,2021S0504582,29800
66,Essa ,Ontario,2021S0504563,47200
67,Greater Sudbury ,Ontario,2021S0503580,44800
68,Guelph ,Ontario,2021S0503550,44800
69,Hamilton ,Ontario,2021S0503537,42400
70,Hawkesbury ,Quebec,2021S0504502,33200
71,Hawkesbury ,Ontario,2021S050635502,33200
72,Hawkesbury ,Quebec,2021S050624502,34800
73,Ingersoll ,Ontario,2021S0504533,44400
74,Kawartha Lakes ,Ontario,2021S0504530,39200
75,Kenora ,Ontario,2021S0504598,48400
76,Kingston ,Ontario,2021S0503521,42800
77,Kitchener - Cambridge - Waterloo ,Ontario,2021S0503541,42400
78,London ,Ontario,2021S0503555,40400
