id,city,province_id,province_name,City_Population,Median_Income,Unemployment_Rate,City_Electricity_Rate,City_EV_registrations,City_EV_stations_locations,incentives_status,EV_Per_Province,No_Certificate_perc,Secondary_HS_perc,Apprenticeship_perc,College_CEGEP_perc,Univ_diploma_Below_Bachelor_perc,Univ_diploma_Above_Bachelor_perc
1124279679,Toronto,ON,Ontario,5429524,41200,9.4,13,54739,294,NO,144128,17.5,27.4,6,20.8,2.2,26
1124586170,Montreal,QC,Quebec,3519595,40800,7.2,7.3,61203,709,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124825478,Vancouver,BC,British Columbia,2264823,40800,7.4,12.6,68894,218,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124690423,Calgary,AB,Alberta,1239220,44800,10.9,16.6,0,93,YES,0,16.9,27.9,9.7,19.2,3,23.4
1124290735,Edmonton,AB,Alberta,1062643,44800,10.9,16.6,0,70,YES,0,16.9,27.9,9.7,19.2,3,23.4
1124399363,Ottawa,ON,Ontario,989567,41200,9.4,13,6091,159,NO,144128,17.5,27.4,6,20.8,2.2,26
1124112672,Mississauga,ON,Ontario,721599,41200,9.4,13,4863,171,NO,144128,17.5,27.4,6,20.8,2.2,26
1124224963,Winnipeg,MB,Manitoba,705244,39200,7.6,9.9,0,45,YES,3290,22,29.6,7.7,17.7,2.9,20.1
1124823933,Quebec City,QC,Quebec,705103,40800,7.2,7.3,0,149,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124567288,Hamilton,ON,Ontario,693645,41200,9.4,13,7616,43,NO,144128,17.5,27.4,6,20.8,2.2,26
1124625989,Brampton,ON,Ontario,593638,41200,9.4,13,2999,45,NO,144128,17.5,27.4,6,20.8,2.2,26
1124001454,Surrey,BC,British Columbia,517887,40800,7.4,12.6,9875,87,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124158530,Kitchener,ON,Ontario,470015,41200,9.4,13,1231,38,NO,144128,17.5,27.4,6,20.8,2.2,26
1124922301,Laval,QC,Quebec,422993,40800,7.2,7.3,0,91,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124130981,Halifax,NS,Nova Scotia,403131,38000,7.9,17.1,0,36,YES,0,19.8,25.3,9.9,21.8,2.4,20.8
1124469960,London,ON,Ontario,383822,41200,9.4,13,3422,84,NO,144128,17.5,27.4,6,20.8,2.2,26
1124147219,Victoria,BC,British Columbia,335696,40800,7.4,12.6,0,95,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124272698,Markham,ON,Ontario,328966,41200,9.4,13,3362,41,NO,144128,17.5,27.4,6,20.8,2.2,26
1124140229,St. Catharines,ON,Ontario,309319,41200,9.4,13,494,19,NO,144128,17.5,27.4,6,20.8,2.2,26
1124704011,Niagara Falls,ON,Ontario,308596,41200,9.4,13,269,18,NO,144128,17.5,27.4,6,20.8,2.2,26
1124000141,Vaughan,ON,Ontario,306233,41200,9.4,13,2732,32,NO,144128,17.5,27.4,6,20.8,2.2,26
1124722129,Gatineau,QC,Quebec,276245,40800,7.2,7.3,0,46,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124261024,Windsor,ON,Ontario,276165,41200,9.4,13,1601,33,NO,144128,17.5,27.4,6,20.8,2.2,26
1124612546,Saskatoon,SK,Saskatchewan,246376,42400,7,18.1,937,16,YES,2222,20.7,30.5,10.4,17.1,3.3,18
1124122753,Longueuil,QC,Quebec,239700,40800,7.2,7.3,0,23,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124817304,Burnaby,BC,British Columbia,232755,40800,7.4,12.6,4454,71,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124342541,Regina,SK,Saskatchewan,215106,42400,7,18.1,631,16,YES,2222,20.7,30.5,10.4,17.1,3.3,18
1124364273,Richmond Hill,ON,Ontario,195022,41200,9.4,13,2395,20,NO,144128,17.5,27.4,6,20.8,2.2,26
1124080468,Oakville,ON,Ontario,193832,41200,9.4,13,3117,72,NO,144128,17.5,27.4,6,20.8,2.2,26
1124955083,Burlington,ON,Ontario,183314,41200,9.4,13,1744,59,NO,144128,17.5,27.4,6,20.8,2.2,26
1124340223,Barrie,ON,Ontario,172657,41200,9.4,13,1481,27,NO,144128,17.5,27.4,6,20.8,2.2,26
1124541904,Oshawa,ON,Ontario,166000,41200,9.4,13,2274,23,NO,144128,17.5,27.4,6,20.8,2.2,26
1124559506,Sherbrooke,QC,Quebec,161323,40800,7.2,7.3,4084,71,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124001930,Saguenay,QC,Quebec,144746,40800,7.2,7.3,1752,15,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124958950,Levis,QC,Quebec,143414,40800,7.2,7.3,0,37,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124080626,Kelowna,BC,British Columbia,142146,40800,7.4,12.6,2806,25,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124808029,Abbotsford,BC,British Columbia,141397,40800,7.4,12.6,1920,32,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124000500,Coquitlam,BC,British Columbia,139284,40800,7.4,12.6,3092,26,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124407487,Trois-Rivieres,QC,Quebec,134413,40800,7.2,7.3,0,51,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124968815,Guelph,ON,Ontario,131794,41200,9.4,13,1700,39,NO,144128,17.5,27.4,6,20.8,2.2,26
1124113576,Cambridge,ON,Ontario,129920,41200,9.4,13,643,31,NO,144128,17.5,27.4,6,20.8,2.2,26
1124112077,Whitby,ON,Ontario,128377,41200,9.4,13,677,16,NO,144128,17.5,27.4,6,20.8,2.2,26
1124382916,Ajax,ON,Ontario,119677,41200,9.4,13,757,21,NO,144128,17.5,27.4,6,20.8,2.2,26
1124000480,Langley,BC,British Columbia,117285,40800,7.4,12.6,3060,15,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124000949,Saanich,BC,British Columbia,114148,40800,7.4,12.6,1844,0,YES,148116,15.5,29.4,8.8,18.1,3.6,24.6
1124993674,Terrebonne,QC,Quebec,111575,40800,7.2,7.3,0,27,YES,252020,19.9,21.5,16.9,17.6,3.6,20.5
1124001426,Milton,ON,Ontario,110128,41200,9.4,13,956,12,NO,144128,17.5,27.4,6,20.8,2.2,26
1124741456,St. John's,NL,Newfoundland and Labrador,108860,36800,12.5,13.8,0,10,YES,0,23.4,25,11.3,23.1,2.4,14.8
