,City,Province,City_ID,Population 2021,Land Area (sqKM),Median_Income($),Unemployment_rate(%),Vehicles_sold_since_2017,Number_of_stations
0,105 Mile Post 2,British Columbia,2021A00055933845,5.0,13.65,40800.0,7.4,0.0,0.0
1,Abbey,Saskatchewan,2021A00054708048,100.0,0.73,42400.0,7.0,0.0,0.0
2,Abbotsford,British Columbia,2021A00055909052,153524.0,375.33,40800.0,7.4,1920.0,32.0
35,Aberdeen,Saskatchewan,2021A00054715019,716.0,1.96,42400.0,7.0,0.0,0.0
36,Aberdeen No. 373,Saskatchewan,2021A00054715018,1461.0,671.82,42400.0,7.0,1.0,0.0
37,Abernethy,Saskatchewan,2021A00054706046,190.0,0.98,42400.0,7.0,0.0,0.0
38,Abernethy No. 186,Saskatchewan,2021A00054706042,337.0,763.11,42400.0,7.0,0.0,0.0
39,Abitibi 70,Ontario,2021A00053556033,156.0,78.23,41200.0,9.4,0.0,0.0
40,Addington Highlands,Ontario,2021A00053511035,2534.0,1293.99,41200.0,9.4,4.0,0.0
41,Adelaide-Metcalfe,Ontario,2021A00053539047,3011.0,331.11,41200.0,9.4,12.0,0.0
42,Adjala-Tosorontio,Ontario,2021A00053543003,10989.0,371.53,41200.0,9.4,44.0,0.0
43,Admaston/Bromley,Ontario,2021A00053547043,2995.0,519.59,41200.0,9.4,9.0,0.0
44,Agats Meadow 8,British Columbia,2021A00055941844,0.0,1.2,40800.0,7.4,0.0,0.0
45,Agency 1,Ontario,2021A00053559062,0.0,0.48,41200.0,9.4,0.0,0.0
46,Ahahswinis 1,British Columbia,2021A00055923801,150.0,0.41,40800.0,7.4,1.0,0.0
47,Ahaminaquus 12,British Columbia,2021A00055924803,0.0,0.18,40800.0,7.4,0.0,0.0
48,Ahtahkakoop 104,Saskatchewan,2021A00054716860,1402.0,173.75,42400.0,7.0,2.0,0.0
49,Air Ronge,Saskatchewan,2021A00054718042,1365.0,6.0,42400.0,7.0,0.0,0.0
50,Aitchelitch 9,British Columbia,2021A00055909835,45.0,0.21,40800.0,7.4,0.0,0.0
51,Ajax,Ontario,2021A00053518005,126666.0,66.64,41200.0,9.4,757.0,21.0
74,Alameda,Saskatchewan,2021A00054701037,345.0,2.53,42400.0,7.0,0.0,0.0
75,Alberni 2,British Columbia,2021A00055923802,0.0,0.55,40800.0,7.4,0.0,0.0
76,Alberni-Clayoquot A,British Columbia,2021A00055923047,256.0,1619.77,40800.0,7.4,2.0,0.0
