,Province,City_ID,Median_Income($)
0,Canada,2021A000011124,41200
1,Newfoundland and Labrador,2021A000210,36800
2,Prince Edward Island,2021A000211,38800
3,Nova Scotia,2021A000212,38000
4,New Brunswick,2021A000213,37600
5,Quebec,2021A000224,40800
6,Ontario,2021A000235,41200
7,Manitoba,2021A000246,39200
8,Saskatchewan,2021A000247,42400
9,Alberta,2021A000248,44800
10,British Columbia,2021A000259,40800
11,Yukon,2021A000260,54800
12,Northwest Territories,2021A000261,56800
13,Nunavut,2021A000262,37600
