,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
0,ELEC,Ramada,1319 2nd St W,,Brooks,AB,T1R 1P7,,403-362-6440,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,200-9,50.585242,-111.898615,2021-11-02,82833,2022-04-26 16:04:15 UTC,P,,,2012-02-01,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,False
1,ELEC,Davis Chevrolet,149 E Lake Crescent NE,,Airdrie,AB,T4A 2H9,,403-948-6909,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,200-9,51.288119,-113.998284,2022-02-10,82834,2022-04-26 16:04:15 UTC,P,,,2015-01-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,False
2,ELEC,Go Nissan South,1275 101 St SW,,Edmonton,AB,T6X 1A1,,780-463-5700,T,2022-03-01,TEMPORARILY UNAVAILABLE (Public - Call ahead),24 hours daily,,,,,,2.0,,,Non-Networked,,200-9,53.421352,-113.49069,2021-11-02,82835,2022-04-26 16:04:15 UTC,P,,,2018-05-23,,,,,J1772,CA,,24 heures par jour,,TEMPORAIREMENT SUSPENDU (Public - Appeler à l'avance),,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,False
3,ELEC,Don Wheaton Chevrolet,10727 - 82 Ave,,Edmonton,AB,T6E 2B1,,,E,,Public,"7am-6pm M-F, 8am-2pm Sat",,,,,,2.0,,,Non-Networked,,200-9,53.517704,-113.507252,2021-11-02,82836,2022-04-26 16:04:15 UTC,P,,,2013-01-15,,,,,J1772,CA,,"7:00-18:00 LUN-VEN, 8:00-14:00 SAT",,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,False
4,ELEC,Gasonic Instruments,8-823 41st Ave NE,,Calgary,AB,T2E 6Y3,,403-276-2201,E,,Public,8am-5pm M-F; remaining hours and all weekends available to the public,,,,,,1.0,,,Non-Networked,,200-9,51.092856,-114.043029,2022-04-13,82837,2022-04-26 16:04:15 UTC,P,,,2015-04-15,,,,,J1772,CA,,8:00-17:00 LUN-VEN; disponible au public le reste des heures et les fin de semaines,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,,False
5,ELEC,International Motor Cars,7220 Railway St SE,,Calgary,AB,T2H 3A8,,844-288-8918,E,,Public - Call ahead,24 hours daily,,,,,,1.0,,,Non-Networked,,200-9,50.990495,-114.042414,2020-10-07,82838,2022-04-07 20:00:12 UTC,P,,,2017-03-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,False
6,ELEC,Residence Inn,3710 Market St SE,,Calgary,AB,T3M 2P2,,587-349-8633,E,,Public,24 hours daily; for guest use only,,,,,,4.0,,,Non-Networked,,GPS,50.88028293795556,-113.9558734539673,2021-11-02,82839,2022-04-28 20:01:31 UTC,P,,,2017-02-01,,,,,J1772,CA,,24 heures par jour; des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,True
7,ELEC,Platinum Mitsubishi,2720 Barlow Trail NE,,Calgary,AB,T1Y 1A1,,587-200-4448,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,GPS,51.07626273694107,-114.0002597533035,2021-12-13,82840,2022-04-26 16:04:15 UTC,P,,,2016-05-16,,,,,J1772,CA,,Heures dâ€™ouverture du concessionnaire,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,False
8,ELEC,Nissan Sorel-Tracy,4995 rue Saint-Laurent,,Sorel-Tracy,QC,J3R 5S8,,450-743-9418,E,,Public,8am-8pm M-Th; 8am-5pm F,,,,,,2.0,,,Non-Networked,,200-9,46.024209,-73.154564,2021-12-13,82842,2022-04-26 16:04:15 UTC,P,,,2011-03-15,,,,,J1772,CA,,8:00-20:00 L-J; 8:00-17:00 V,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,False
9,ELEC,Red River College,Skinner Rd,Located beside automotive building,Winnipeg,MB,R3J 3Y9,,204-632-3960,E,,Public,24 hours daily,,,,,,1.0,1.0,,Non-Networked,,GPS,49.9193337685111,-97.20904312233732,2022-04-13,82843,2022-04-26 16:04:15 UTC,P,,,2014-02-01,,,,,CHADEMO J1772,CA,A coté de l'office d'automobile,24 heures par jour,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free; Parking fee,Gratuit; Parking fee,,,,,,,,,False
10,LPG,DesHarnais Petro Canada,122 boul. Notre-Dame,,Pont Rouge,QC,G3H 3K7,,418-873-2060,E,,Public,6am-11pm daily,Cash D Debit M V,,,,,,,,,,200-9,46.761739,-71.708283,2021-07-15,82864,2022-04-26 16:04:15 UTC,P,,,2018-01-17,,,False,,,CA,,6:00-23:00 tous les jours,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,False
11,LPG,Battleford Esso,500 5th Ave W,,Battleford,SK,S0M 0E0,,306-937-2334,E,,Public,7am-8pm daily,A Cash Debit M V,,,,,,,,,,200-9,52.74247,-108.31853,2018-05-07,82874,2021-06-08 18:45:42 UTC,P,,,2015-04-16,,,True,,,CA,,7:00-20:00 tous les jours,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,False
12,LPG,Lake Country Co-op Gas Bar - Shellbrook,Saskatchewan 55,,Shellbrook,SK,V2N 5T8,,306-747-2777,E,,Public,"6am-11pm M-Sat, 7am-11pm Sun",A ARI Cash Comdata Debit M PHH Proprietor TCH V,,,,,,,,,,GPS,53.22786538325567,-106.3877277428528,2022-07-08,82875,2022-07-08 16:02:07 UTC,P,,,2018-02-01,,,True,,,CA,,"6:00-23:00 LUN-SAM, 7:00-23:00 DIM",,Public,,public,,,GAS_STATION,,,,,,,,,"[""ACME""]",,,,,,,,False
13,ELEC,Algonquin Moon Bed & Breakfast,32 Swallowdale Rd,,Huntsville,ON,P1H 0A5,,705-788-3066,T,2021-12-01,TEMPORARILY UNAVAILABLE (Public - Call ahead),Dawn to dusk daily; donations accepted,,,,,,1.0,,,Non-Networked,,200-9,45.335467,-79.136714,2021-06-07,82902,2022-04-26 16:04:15 UTC,P,,,2014-06-15,,,,,J1772,CA,,Du lever au coucher du soleil tous les jours; dons acceptÃ©s,,TEMPORAIREMENT SUSPENDU (Public - Appeler à l'avance),,public,CALL,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,False
14,ELEC,Amosphere Complexe Hotelier,1031 Route 111 E,,Amos,QC,J9T 1N2,,819-732-7777,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,GPS,48.55973356037567,-78.10465139021301,2021-11-02,82904,2022-04-26 16:04:15 UTC,P,,,2014-02-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,False
15,ELEC,Arena Louis-Philippe Dalpe,2000 boul. Rene-Gaultier,,Varennes,QC,J3X 1N8,,450-652-9888,E,,Public,24 hours daily,,,,,,1.0,,,Non-Networked,,200-9,45.676313,-73.433481,2021-10-12,82905,2022-04-26 16:04:15 UTC,P,,,2015-06-01,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,ARENA,,,,,,,Free,Gratuit,,,,,,,,,False
16,ELEC,Assurance Romeo Bessette et Fils Inc,815 rue Plante,,St-Jean-sur-Richelieu,QC,J3A 1M8,,450-359-8888  514-591-6357,E,,Public,24 hours daily; Also accepts donations,,,,,,1.0,,,Non-Networked,,200-9,45.327381,-73.272159,2021-12-13,82906,2022-04-26 16:04:15 UTC,P,,,2013-03-15,,,,,J1772,CA,,24 heures par jour; Accepte aussi les dons,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,,False
17,ELEC,Auberge Gouverneur Shawinigan,1100 Promenade du Saint-Maurice,,Shawinigan,QC,G9N 1L8,,888-922-1100,E,,Public,24 hours daily; for guests only,,,,,,1.0,,,Non-Networked,,200-9,46.5405404,-72.75470949999999,2022-01-11,82908,2022-04-28 20:01:31 UTC,P,,,2015-08-15,,,,,J1772,CA,,Accessible 24 heures par jour; pour les clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,True
18,ELEC,Balls Falls Centre for Conservation,3292 Sixth Ave,,Lincoln,ON,L0R 1S0,,905-562-5235,E,,Public,24 hours daily; guest use only,,,,,,2.0,,,Non-Networked,,200-9,43.133157,-79.386041,2022-02-10,82910,2022-04-28 20:01:31 UTC,P,,,2017-02-01,,,,,J1772,CA,,24 heures par jour; les clients seulement,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,Free after 4 PM; free following parking payment during hours of operation,Gratuit après 16 h 00; gratuit après le paiement de stationnement pendant les heures d'ouverture,,,,,,,,,True
