,REF_DATE,GEO,DGUID,Labour force characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
0,2006,"Corner Brook, Newfoundland and Labrador",2016S0504015,Population,Persons,249,thousands,3,v1235071748,1.1,26.3,,,,1
1,2006,"Corner Brook, Newfoundland and Labrador",2016S0504015,Labour force,Persons,249,thousands,3,v1235071749,1.2,16.9,,,,1
2,2006,"Corner Brook, Newfoundland and Labrador",2016S0504015,Employment,Persons,249,thousands,3,v1235071750,1.3,14.5,,,,1
3,2006,"Corner Brook, Newfoundland and Labrador",2016S0504015,Unemployment,Persons,249,thousands,3,v1235071751,1.4,2.4,,,,1
4,2006,"Corner Brook, Newfoundland and Labrador",2016S0504015,Not in labour force,Persons,249,thousands,3,v1235071752,1.5,9.4,,,,1
5,2006,"Corner Brook, Newfoundland and Labrador",2016S0504015,Unemployment rate,Percentage,242,units,0,v1235071753,1.6,14.2,,,,1
6,2006,"Corner Brook, Newfoundland and Labrador",2016S0504015,Participation rate,Percentage,242,units,0,v1235071754,1.7,64.3,,,,1
7,2006,"Corner Brook, Newfoundland and Labrador",2016S0504015,Employment rate,Percentage,242,units,0,v1235071755,1.8,55.1,,,,1
8,2006,"Charlottetown, Prince Edward Island",2016S0504105,Population,Persons,249,thousands,3,v1235071756,2.1,50.2,,,,1
9,2006,"Charlottetown, Prince Edward Island",2016S0504105,Labour force,Persons,249,thousands,3,v1235071757,2.2,35.4,,,,1
10,2006,"Charlottetown, Prince Edward Island",2016S0504105,Employment,Persons,249,thousands,3,v1235071758,2.3,32.7,,,,1
11,2006,"Charlottetown, Prince Edward Island",2016S0504105,Unemployment,Persons,249,thousands,3,v1235071759,2.4,2.7,,,,1
12,2006,"Charlottetown, Prince Edward Island",2016S0504105,Not in labour force,Persons,249,thousands,3,v1235071760,2.5,14.9,,,,1
13,2006,"Charlottetown, Prince Edward Island",2016S0504105,Unemployment rate,Percentage,242,units,0,v1235071761,2.6,7.6,,,,1
14,2006,"Charlottetown, Prince Edward Island",2016S0504105,Participation rate,Percentage,242,units,0,v1235071762,2.7,70.5,,,,1
15,2006,"Charlottetown, Prince Edward Island",2016S0504105,Employment rate,Percentage,242,units,0,v1235071763,2.8,65.1,,,,1
16,2006,"Summerside, Prince Edward Island",2016S0504110,Population,Persons,249,thousands,3,v1235071764,3.1,13.3,,,,1
17,2006,"Summerside, Prince Edward Island",2016S0504110,Labour force,Persons,249,thousands,3,v1235071765,3.2,8.7,,,,1
18,2006,"Summerside, Prince Edward Island",2016S0504110,Employment,Persons,249,thousands,3,v1235071766,3.3,7.8,,,,1
19,2006,"Summerside, Prince Edward Island",2016S0504110,Unemployment,Persons,249,thousands,3,v1235071767,3.4,0.9,,,,1
20,2006,"Summerside, Prince Edward Island",2016S0504110,Not in labour force,Persons,249,thousands,3,v1235071768,3.5,4.5,,,,1
21,2006,"Summerside, Prince Edward Island",2016S0504110,Unemployment rate,Percentage,242,units,0,v1235071769,3.6,10.3,,,,1
22,2006,"Summerside, Prince Edward Island",2016S0504110,Participation rate,Percentage,242,units,0,v1235071770,3.7,65.4,,,,1
23,2006,"Summerside, Prince Edward Island",2016S0504110,Employment rate,Percentage,242,units,0,v1235071771,3.8,58.6,,,,1
24,2006,"Truro, Nova Scotia",2016S0504215,Population,Persons,249,thousands,3,v1235071772,4.1,38.1,,,,1
25,2006,"Truro, Nova Scotia",2016S0504215,Labour force,Persons,249,thousands,3,v1235071773,4.2,24.6,,,,1
26,2006,"Truro, Nova Scotia",2016S0504215,Employment,Persons,249,thousands,3,v1235071774,4.3,22.8,,,,1
27,2006,"Truro, Nova Scotia",2016S0504215,Unemployment,Persons,249,thousands,3,v1235071775,4.4,1.8,,,,1
28,2006,"Truro, Nova Scotia",2016S0504215,Not in labour force,Persons,249,thousands,3,v1235071776,4.5,13.5,,,,1
29,2006,"Truro, Nova Scotia",2016S0504215,Unemployment rate,Percentage,242,units,0,v1235071777,4.6,7.3,,,,1
30,2006,"Truro, Nova Scotia",2016S0504215,Participation rate,Percentage,242,units,0,v1235071778,4.7,64.6,,,,1
31,2006,"Truro, Nova Scotia",2016S0504215,Employment rate,Percentage,242,units,0,v1235071779,4.8,59.8,,,,1
32,2006,"New Glasgow, Nova Scotia",2016S0504220,Population,Persons,249,thousands,3,v1235071780,5.1,34.0,,,,1
33,2006,"New Glasgow, Nova Scotia",2016S0504220,Labour force,Persons,249,thousands,3,v1235071781,5.2,19.6,,,,1
34,2006,"New Glasgow, Nova Scotia",2016S0504220,Employment,Persons,249,thousands,3,v1235071782,5.3,18.1,,,,1
35,2006,"New Glasgow, Nova Scotia",2016S0504220,Unemployment,Persons,249,thousands,3,v1235071783,5.4,1.5,,,,1
36,2006,"New Glasgow, Nova Scotia",2016S0504220,Not in labour force,Persons,249,thousands,3,v1235071784,5.5,14.4,,,,1
37,2006,"New Glasgow, Nova Scotia",2016S0504220,Unemployment rate,Percentage,242,units,0,v1235071785,5.6,7.7,,,,1
38,2006,"New Glasgow, Nova Scotia",2016S0504220,Participation rate,Percentage,242,units,0,v1235071786,5.7,57.6,,,,1
39,2006,"New Glasgow, Nova Scotia",2016S0504220,Employment rate,Percentage,242,units,0,v1235071787,5.8,53.2,,,,1
40,2006,"Cape Breton, Nova Scotia",2016S0504225,Population,Persons,249,thousands,3,v1235071788,6.1,90.0,,,,1
41,2006,"Cape Breton, Nova Scotia",2016S0504225,Labour force,Persons,249,thousands,3,v1235071789,6.2,48.3,,,,1
42,2006,"Cape Breton, Nova Scotia",2016S0504225,Employment,Persons,249,thousands,3,v1235071790,6.3,41.9,,,,1
43,2006,"Cape Breton, Nova Scotia",2016S0504225,Unemployment,Persons,249,thousands,3,v1235071791,6.4,6.4,,,,1
44,2006,"Cape Breton, Nova Scotia",2016S0504225,Not in labour force,Persons,249,thousands,3,v1235071792,6.5,41.7,,,,1
45,2006,"Cape Breton, Nova Scotia",2016S0504225,Unemployment rate,Percentage,242,units,0,v1235071793,6.6,13.3,,,,1
46,2006,"Cape Breton, Nova Scotia",2016S0504225,Participation rate,Percentage,242,units,0,v1235071794,6.7,53.7,,,,1
47,2006,"Cape Breton, Nova Scotia",2016S0504225,Employment rate,Percentage,242,units,0,v1235071795,6.8,46.6,,,,1
48,2006,"Fredericton, New Brunswick",2016S0504320,Population,Persons,249,thousands,3,v1235071796,7.1,76.5,,,,1
49,2006,"Fredericton, New Brunswick",2016S0504320,Labour force,Persons,249,thousands,3,v1235071797,7.2,52.5,,,,1
50,2006,"Fredericton, New Brunswick",2016S0504320,Employment,Persons,249,thousands,3,v1235071798,7.3,49.2,,,,1
51,2006,"Fredericton, New Brunswick",2016S0504320,Unemployment,Persons,249,thousands,3,v1235071799,7.4,3.3,,,,1
52,2006,"Fredericton, New Brunswick",2016S0504320,Not in labour force,Persons,249,thousands,3,v1235071800,7.5,24.0,,,,1
53,2006,"Fredericton, New Brunswick",2016S0504320,Unemployment rate,Percentage,242,units,0,v1235071801,7.6,6.3,,,,1
54,2006,"Fredericton, New Brunswick",2016S0504320,Participation rate,Percentage,242,units,0,v1235071802,7.7,68.6,,,,1
55,2006,"Fredericton, New Brunswick",2016S0504320,Employment rate,Percentage,242,units,0,v1235071803,7.8,64.3,,,,1
56,2006,"Bathurst, New Brunswick",2016S0504328,Population,Persons,249,thousands,3,v1235071804,8.1,27.7,,,,1
57,2006,"Bathurst, New Brunswick",2016S0504328,Labour force,Persons,249,thousands,3,v1235071805,8.2,14.8,,,,1
58,2006,"Bathurst, New Brunswick",2016S0504328,Employment,Persons,249,thousands,3,v1235071806,8.3,12.9,,,,1
59,2006,"Bathurst, New Brunswick",2016S0504328,Unemployment,Persons,249,thousands,3,v1235071807,8.4,1.8,,,,1
60,2006,"Bathurst, New Brunswick",2016S0504328,Not in labour force,Persons,249,thousands,3,v1235071808,8.5,12.9,,,,1
61,2006,"Bathurst, New Brunswick",2016S0504328,Unemployment rate,Percentage,242,units,0,v1235071809,8.6,12.2,,,,1
